id, name      					, contract_type  , account_id	                         , scale , interfaces																				, is_tzip16	, is_nft	, metadata_type, metadata_big_map_id	, metadata_big_map_type, metadata_path
1 , Staker DAO					, FA1.2-StakerDao, KT1EctCuorV2NfVb1XTQgvzJ88MQtWP8cMMv, 0     , ""															 												, false					, false 	, ""											, -1																		,	""																			, ""
2 , USDtz     					, FA1.2          , KT1LN4LPSqTMS7Sd2CJw4bbDGRkMv2t68Fy9, 6     , ""															 												, false					, false 	,	""											,	-1																		,	""																			, ""
3 , tzBTC     					, FA1.2          , KT1PWx2mnDueood7fEmfbBDKx1D9BAnnXitn, 0     , ""															 												, false					, false		, ""											, -1																		, ""																			, ""
4 , hic et nunc NFT, FA2												, KT1RJ6PbjHpwc3M5rw5s2Nbmefwbuwbdxton, 0     , "TZIP-012, TZIP-016"										, true						, true			, contract					, 512																	,	ipfs																	, MichelsonSingleInstruction:Pair::1;MichelsonType:Pair::1;MichelsonInstructionSequence:0;MichelsonSingleInstruction:Elt::1
5 , Wrapped AAVE			, FA2												,	KT18fp5rcTW7mbWDmzFwjLDUhs5MeJmagDSZ, 0					,	"TZIP-012, TZIP-016, TZIP-021", true						, true			,	contract					, 1776																, ipfs																	, MichelsonSingleInstruction:Pair::1;MichelsonType:Pair::1;MichelsonInstructionSequence:0;MichelsonSingleInstruction:Elt::1
