id, name          , contract_type  , account_id
1 , Sample Token A, FA1.2          , KT1HzQofKBxzfiKoMzGbkxBgjis2mWnCtbC2
2 , Staker DAO    , FA1.2-StakerDao, KT1HcYqwgsAUk8GrQEewWbteE5rKjNmVR6fA
